alco_sex,alco_category_group,alco_category,alco_age_group,alco_estimate_000
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,55–64,178.1
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,55–64,255.7
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,55–64,90.7
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,55–64,51.1
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,55–64,18.1
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,55–64,157.5
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",55–64,1529.0
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,65 years and over,802.1
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,65 years and over,448.9
Persons,Exceeded guideline,Total exceeded guideline,65 years and over,918.5
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,65 years and over,1238.7
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,65 years and over,792.2
Persons,Did not exceed guideline,Never consumed alcohol,65 years and over,467.1
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,65 years and over,697.9
Persons,Did not exceed guideline,Total did not exceed guideline,65 years and over,3198.5
Persons,Did not exceed guideline,"Total persons, 15 years and over",65 years and over,4199.8
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,65 years and over,145.9
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,65 years and over,83.1
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,65 years and over,568.6
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,65 years and over,802.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,65 years and over,259.9
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,65 years and over,147.2
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,65 years and over,44.3
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,65 years and over,448.9
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",65 years and over,4199.8
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,65 years and over,549.5
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,65 years and over,368.8
Males,Exceeded guideline,Total exceeded guideline,65 years and over,633.4
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,65 years and over,587.8
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,65 years and over,350.6
Males,Did not exceed guideline,Never consumed alcohol,65 years and over,111.0
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,65 years and over,284.5
Males,Did not exceed guideline,Total did not exceed guideline,65 years and over,1324.6
Males,Did not exceed guideline,"Total males, 15 years and over",65 years and over,1983.6
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,65 years and over,88.5
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,65 years and over,57.5
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,65 years and over,403.6
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,65 years and over,549.5
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,65 years and over,198.3
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,65 years and over,123.7
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,65 years and over,42.4
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,65 years and over,368.8
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",65 years and over,1983.6
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,65 years and over,260.3
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,65 years and over,88.0
Females,Exceeded guideline,Total exceeded guideline,65 years and over,281.8
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,65 years and over,647.9
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,65 years and over,445.4
Females,Did not exceed guideline,Never consumed alcohol,65 years and over,353.4
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,65 years and over,422.9
Females,Did not exceed guideline,Total did not exceed guideline,65 years and over,1872.6
Females,Did not exceed guideline,"Total females, 15 years and over",65 years and over,2207.1
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,65 years and over,63.7
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,65 years and over,30.1
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,65 years and over,170.3
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,65 years and over,260.3
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,65 years and over,62.2
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,65 years and over,19.9
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,65 years and over,4.3
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,65 years and over,88.0
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",65 years and over,2207.1
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,15–24,346.3
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,15–24,761.1
Persons,Exceeded guideline,Total exceeded guideline,15–24,829.3
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,15–24,500.4
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,15–24,743.1
Persons,Did not exceed guideline,Never consumed alcohol,15–24,868.6
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,15–24,123.3
Persons,Did not exceed guideline,Total did not exceed guideline,15–24,2238.5
Persons,Did not exceed guideline,"Total persons, 15 years and over",15–24,3086.5
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,15–24,74.0
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,15–24,45.3
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,15–24,232.0
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,15–24,346.3
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,15–24,272.4
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,15–24,254.9
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,15–24,241.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,15–24,761.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",15–24,3086.5
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,15–24,229.0
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,15–24,450.9
Males,Exceeded guideline,Total exceeded guideline,15–24,493.7
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,15–24,219.2
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,15–24,349.7
Males,Did not exceed guideline,Never consumed alcohol,15–24,459.8
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,15–24,51.8
Males,Did not exceed guideline,Total did not exceed guideline,15–24,1083.4
Males,Did not exceed guideline,"Total males, 15 years and over",15–24,1590.7
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,15–24,59.4
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,15–24,26.5
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,15–24,156.3
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,15–24,229.0
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,15–24,126.1
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,15–24,145.8
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,15–24,173.5
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,15–24,450.9
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",15–24,1590.7
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,15–24,123.8
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,15–24,306.9
Females,Exceeded guideline,Total exceeded guideline,15–24,321.9
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,15–24,281.1
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,15–24,385.3
Females,Did not exceed guideline,Never consumed alcohol,15–24,411.8
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,15–24,71.2
Females,Did not exceed guideline,Total did not exceed guideline,15–24,1159.2
Females,Did not exceed guideline,"Total females, 15 years and over",15–24,1503.7
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,15–24,17.7
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,15–24,16.9
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,15–24,88.6
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,15–24,123.8
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,15–24,140.4
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,15–24,104.7
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,15–24,55.5
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,15–24,306.9
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",15–24,1503.7
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,15–44,1487.0
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,15–44,2343.1
Persons,Exceeded guideline,Total exceeded guideline,15–44,2657.7
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,15–44,2528.3
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,15–44,2565.4
Persons,Did not exceed guideline,Never consumed alcohol,15–44,1651.8
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,15–44,839.9
Persons,Did not exceed guideline,Total did not exceed guideline,15–44,7571.4
Persons,Did not exceed guideline,"Total persons, 15 years and over",15–44,10326.9
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,15–44,274.3
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,15–44,183.6
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,15–44,1035.2
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,15–44,1488.2
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,15–44,850.4
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,15–44,830.6
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,15–44,662.4
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,15–44,2343.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",15–44,10326.9
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,15–44,1049.4
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,15–44,1545.2
Males,Exceeded guideline,Total exceeded guideline,15–44,1739.9
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,15–44,1144.6
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,15–44,1117.3
Males,Did not exceed guideline,Never consumed alcohol,15–44,808.3
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,15–44,312.5
Males,Did not exceed guideline,Total did not exceed guideline,15–44,3375.7
Males,Did not exceed guideline,"Total males, 15 years and over",15–44,5171.6
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,15–44,194.4
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,15–44,125.1
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,15–44,730.9
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,15–44,1050.6
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,15–44,501.0
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,15–44,530.6
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,15–44,511.9
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,15–44,1545.2
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",15–44,5171.6
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,15–44,437.5
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,15–44,808.9
Females,Exceeded guideline,Total exceeded guideline,15–44,918.6
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,15–44,1390.7
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,15–44,1442.3
Females,Did not exceed guideline,Never consumed alcohol,15–44,845.1
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,15–44,527.0
Females,Did not exceed guideline,Total did not exceed guideline,15–44,4199.9
Females,Did not exceed guideline,"Total females, 15 years and over",15–44,5161.8
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,15–44,82.9
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,15–44,53.6
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,15–44,296.1
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,15–44,437.5
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,15–44,359.3
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,15–44,296.6
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,15–44,156.1
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,15–44,808.9
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",15–44,5161.8
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,25–44,1138.9
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,25–44,1584.0
Persons,Exceeded guideline,Total exceeded guideline,25–44,1843.6
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,25–44,2029.7
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,25–44,1820.5
Persons,Did not exceed guideline,Never consumed alcohol,25–44,778.7
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,25–44,707.3
Persons,Did not exceed guideline,Total did not exceed guideline,25–44,5331.0
Persons,Did not exceed guideline,"Total persons, 15 years and over",25–44,7244.8
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,25–44,200.0
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,25–44,150.2
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,25–44,801.3
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,25–44,1141.4
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,25–44,589.3
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,25–44,566.0
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,25–44,427.0
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,25–44,1584.0
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",25–44,7244.8
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,25–44,826.6
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,25–44,1086.0
Males,Exceeded guideline,Total exceeded guideline,25–44,1253.8
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,25–44,922.6
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,25–44,760.7
Males,Did not exceed guideline,Never consumed alcohol,25–44,348.1
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,25–44,262.5
Males,Did not exceed guideline,Total did not exceed guideline,25–44,2295.7
Males,Did not exceed guideline,"Total males, 15 years and over",25–44,3581.2
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,25–44,139.8
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,25–44,97.2
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,25–44,578.1
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,25–44,821.7
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,25–44,364.1
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,25–44,380.8
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,25–44,343.0
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,25–44,1086.0
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",25–44,3581.2
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,25–44,323.9
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,25–44,496.4
Females,Exceeded guideline,Total exceeded guideline,25–44,588.3
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,25–44,1102.2
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,25–44,1056.3
Females,Did not exceed guideline,Never consumed alcohol,25–44,423.4
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,25–44,444.4
Females,Did not exceed guideline,Total did not exceed guideline,25–44,3033.2
Females,Did not exceed guideline,"Total females, 15 years and over",25–44,3661.5
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,25–44,61.2
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,25–44,45.7
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,25–44,220.3
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,25–44,323.9
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,25–44,219.7
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,25–44,193.0
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,25–44,88.6
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,25–44,496.4
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",25–44,3661.5
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,45–64,1401.9
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,45–64,1275.6
Persons,Exceeded guideline,Total exceeded guideline,45–64,1774.2
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,45–64,1809.3
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,45–64,1255.4
Persons,Did not exceed guideline,Never consumed alcohol,45–64,556.4
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,45–64,705.7
Persons,Did not exceed guideline,Total did not exceed guideline,45–64,4327.8
Persons,Did not exceed guideline,"Total persons, 15 years and over",45–64,6199.6
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,45–64,230.7
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,45–64,171.4
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,45–64,995.9
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,45–64,1401.9
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,45–64,591.7
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,45–64,368.5
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,45–64,319.5
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,45–64,1275.6
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",45–64,6199.6
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,45–64,890.2
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,45–64,893.4
Males,Exceeded guideline,Total exceeded guideline,45–64,1128.8
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,45–64,825.8
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,45–64,549.6
Males,Did not exceed guideline,Never consumed alcohol,45–64,174.5
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,45–64,305.4
Males,Did not exceed guideline,Total did not exceed guideline,45–64,1868.4
Males,Did not exceed guideline,"Total males, 15 years and over",45–64,3037.2
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,45–64,105.5
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,45–64,123.2
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,45–64,651.3
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,45–64,890.2
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,45–64,366.5
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,45–64,258.4
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,45–64,270.9
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,45–64,893.4
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",45–64,3037.2
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,45–64,510.4
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,45–64,389.3
Females,Exceeded guideline,Total exceeded guideline,45–64,639.8
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,45–64,979.3
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,45–64,705.7
Females,Did not exceed guideline,Never consumed alcohol,45–64,389.1
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,45–64,398.3
Females,Did not exceed guideline,Total did not exceed guideline,45–64,2463.3
Females,Did not exceed guideline,"Total females, 15 years and over",45–64,3166.1
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,45–64,119.6
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,45–64,44.9
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,45–64,346.0
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,45–64,510.4
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,45–64,223.9
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,45–64,119.7
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,45–64,48.9
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,45–64,389.3
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",45–64,3166.1
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,65–74,519.9
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,65–74,337.1
Persons,Exceeded guideline,Total exceeded guideline,65–74,606.2
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,65–74,698.9
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,65–74,488.7
Persons,Did not exceed guideline,Never consumed alcohol,65–74,217.8
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,65–74,352.8
Persons,Did not exceed guideline,Total did not exceed guideline,65–74,1759.2
Persons,Did not exceed guideline,"Total persons, 15 years and over",65–74,2404.7
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,65–74,80.4
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,65–74,56.3
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,65–74,381.0
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,65–74,519.9
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,65–74,182.7
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,65–74,119.0
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,65–74,38.4
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,65–74,337.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",65–74,2404.7
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,65–74,347.2
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,65–74,269.8
Males,Exceeded guideline,Total exceeded guideline,65–74,417.8
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,65–74,317.3
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,65–74,216.2
Males,Did not exceed guideline,Never consumed alcohol,65–74,57.5
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,65–74,140.3
Males,Did not exceed guideline,Total did not exceed guideline,65–74,726.5
Males,Did not exceed guideline,"Total males, 15 years and over",65–74,1149.1
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,65–74,36.7
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,65–74,32.4
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,65–74,270.3
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,65–74,347.2
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,65–74,135.9
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,65–74,97.6
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,65–74,35.8
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,65–74,269.8
