smoke_sex,smoke_category_group,smoke_category,smoke_age_group,smoke_estimate_000
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,65 years and over,1942.5
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,65 years and over,1983.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",65 years and over,1983.6
Females,Usual number of days smoked per week,1–2 days,65 years and over,7.5
Females,Usual number of days smoked per week,3–6 days,65 years and over,3.7
Females,Usual number of days smoked per week,Daily,65 years and over,119.3
Females,Usual number of days smoked per week,Total current daily or weekly smoker,65 years and over,134.0
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,65 years and over,13.0
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,65 years and over,35.9
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,65 years and over,28.8
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,65 years and over,25.7
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,65 years and over,21.2
Females,Usual number of cigarettes smoked per day,Total current daily smoker,65 years and over,119.3
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,65 years and over,11.4
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,65 years and over,3.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,65 years and over,35.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,65 years and over,36.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,65 years and over,2176.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,65 years and over,2207.1
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",65 years and over,2207.1
Persons,Usual number of days smoked per week,1–2 days,15–24,44.1
Persons,Usual number of days smoked per week,3–6 days,15–24,3.8
Persons,Usual number of days smoked per week,Daily,15–24,185.4
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,15–24,237.3
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,15–24,88.2
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,15–24,52.4
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,15–24,28.6
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,15–24,13.0
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,15–24,13.1
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,15–24,185.4
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,15–24,6.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,15–24,274.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,15–24,730.5
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,15–24,998.6
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,15–24,2085.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,15–24,3086.5
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",15–24,3086.5
Males,Usual number of days smoked per week,1–2 days,15–24,27.1
Males,Usual number of days smoked per week,3–6 days,15–24,3.4
Males,Usual number of days smoked per week,Daily,15–24,110.8
Males,Usual number of days smoked per week,Total current daily or weekly smoker,15–24,140.5
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,15–24,51.7
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,15–24,25.9
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,15–24,12.8
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,15–24,13.0
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,15–24,13.1
Males,Usual number of cigarettes smoked per day,Total current daily smoker,15–24,110.8
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,15–24,8.4
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,15–24,151.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,15–24,386.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,15–24,541.8
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,15–24,1037.7
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,15–24,1590.7
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",15–24,1590.7
Females,Usual number of days smoked per week,1–2 days,15–24,17.4
Females,Usual number of days smoked per week,3–6 days,15–24,0.0
Females,Usual number of days smoked per week,Daily,15–24,71.3
Females,Usual number of days smoked per week,Total current daily or weekly smoker,15–24,94.5
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,15–24,40.1
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,15–24,26.2
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,15–24,16.1
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,15–24,0.0
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,15–24,0.0
Females,Usual number of cigarettes smoked per day,Total current daily smoker,15–24,71.3
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,15–24,4.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,15–24,118.1
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,15–24,342.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,15–24,455.8
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,15–24,1044.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,15–24,1503.7
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",15–24,1503.7
Persons,Usual number of days smoked per week,1–2 days,15–44,97.9
Persons,Usual number of days smoked per week,3–6 days,15–44,33.0
Persons,Usual number of days smoked per week,Daily,15–44,972.6
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,15–44,1104.1
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,15–44,268.9
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,15–44,225.6
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,15–44,214.7
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,15–44,123.2
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,15–44,132.6
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,15–44,972.6
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,15–44,9.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,15–44,692.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,15–44,1774.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,15–44,2464.0
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,15–44,7863.0
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,15–44,10326.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",15–44,10326.9
Males,Usual number of days smoked per week,1–2 days,15–44,65.0
Males,Usual number of days smoked per week,3–6 days,15–44,15.5
Males,Usual number of days smoked per week,Daily,15–44,579.3
Males,Usual number of days smoked per week,Total current daily or weekly smoker,15–44,663.2
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,15–44,165.5
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,15–44,122.6
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,15–44,129.2
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,15–44,81.3
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,15–44,81.6
Males,Usual number of cigarettes smoked per day,Total current daily smoker,15–44,579.3
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,15–44,10.1
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,15–44,409.4
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,15–44,1035.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,15–44,1452.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,15–44,3717.7
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,15–44,5171.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",15–44,5171.6
Females,Usual number of days smoked per week,1–2 days,15–44,39.1
Females,Usual number of days smoked per week,3–6 days,15–44,13.8
Females,Usual number of days smoked per week,Daily,15–44,395.4
Females,Usual number of days smoked per week,Total current daily or weekly smoker,15–44,446.3
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,15–44,116.2
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,15–44,99.1
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,15–44,91.3
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,15–44,43.7
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,15–44,55.9
Females,Usual number of cigarettes smoked per day,Total current daily smoker,15–44,395.4
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,15–44,9.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,15–44,282.4
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,15–44,728.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,15–44,1008.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,15–44,4152.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,15–44,5161.8
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",15–44,5161.8
Persons,Usual number of days smoked per week,1–2 days,25–44,53.6
Persons,Usual number of days smoked per week,3–6 days,25–44,23.0
Persons,Usual number of days smoked per week,Daily,25–44,795.1
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,25–44,869.3
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,25–44,183.4
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,25–44,176.1
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,25–44,190.3
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,25–44,104.9
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,25–44,119.6
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,25–44,795.1
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,25–44,10.3
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,25–44,420.0
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,25–44,1048.4
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,25–44,1459.6
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,25–44,5780.0
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,25–44,7244.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",25–44,7244.8
Males,Usual number of days smoked per week,1–2 days,25–44,33.6
Males,Usual number of days smoked per week,3–6 days,25–44,16.9
Males,Usual number of days smoked per week,Daily,25–44,474.9
Males,Usual number of days smoked per week,Total current daily or weekly smoker,25–44,530.2
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,25–44,117.8
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,25–44,104.2
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,25–44,119.8
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,25–44,75.2
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,25–44,73.0
Males,Usual number of cigarettes smoked per day,Total current daily smoker,25–44,474.9
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,25–44,10.5
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,25–44,261.8
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,25–44,646.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,25–44,906.4
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,25–44,2678.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,25–44,3581.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",25–44,3581.2
Females,Usual number of days smoked per week,1–2 days,25–44,14.5
Females,Usual number of days smoked per week,3–6 days,25–44,9.8
Females,Usual number of days smoked per week,Daily,25–44,309.9
Females,Usual number of days smoked per week,Total current daily or weekly smoker,25–44,345.9
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,25–44,67.7
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,25–44,71.2
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,25–44,81.1
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,25–44,43.7
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,25–44,55.9
Females,Usual number of cigarettes smoked per day,Total current daily smoker,25–44,309.9
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,25–44,10.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,25–44,163.6
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,25–44,398.3
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,25–44,554.7
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,25–44,3097.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,25–44,3661.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",25–44,3661.5
Persons,Usual number of days smoked per week,1–2 days,45–64,42.6
Persons,Usual number of days smoked per week,3–6 days,45–64,16.7
Persons,Usual number of days smoked per week,Daily,45–64,882.3
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,45–64,936.9
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,45–64,99.8
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,45–64,164.0
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,45–64,205.0
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,45–64,165.8
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,45–64,248.7
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,45–64,882.3
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,45–64,13.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,45–64,149.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,45–64,323.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,45–64,467.6
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,45–64,5730.3
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,45–64,6199.6
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",45–64,6199.6
Males,Usual number of days smoked per week,1–2 days,45–64,25.2
Males,Usual number of days smoked per week,3–6 days,45–64,3.1
Males,Usual number of days smoked per week,Daily,45–64,504.4
Males,Usual number of days smoked per week,Total current daily or weekly smoker,45–64,526.2
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,45–64,47.5
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,45–64,78.9
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,45–64,84.4
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,45–64,93.6
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,45–64,197.1
Males,Usual number of cigarettes smoked per day,Total current daily smoker,45–64,504.4
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,45–64,15.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,45–64,104.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,45–64,168.5
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,45–64,281.1
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,45–64,2759.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,45–64,3037.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",45–64,3037.2
Females,Usual number of days smoked per week,1–2 days,45–64,19.5
Females,Usual number of days smoked per week,3–6 days,45–64,15.3
Females,Usual number of days smoked per week,Daily,45–64,380.8
Females,Usual number of days smoked per week,Total current daily or weekly smoker,45–64,413.2
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,45–64,44.1
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,45–64,84.8
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,45–64,114.4
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,45–64,83.6
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,45–64,54.2
Females,Usual number of cigarettes smoked per day,Total current daily smoker,45–64,380.8
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,45–64,11.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,45–64,44.4
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,45–64,150.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,45–64,192.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,45–64,2966.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,45–64,3166.1
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",45–64,3166.1
Persons,Usual number of days smoked per week,1–2 days,65–74,4.5
Persons,Usual number of days smoked per week,3–6 days,65–74,4.9
Persons,Usual number of days smoked per week,Daily,65–74,209.4
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,65–74,221.6
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,65–74,35.7
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,65–74,49.4
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,65–74,35.5
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,65–74,34.9
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,65–74,52.4
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,65–74,209.4
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,65–74,12.5
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,65–74,5.0
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,65–74,52.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,65–74,61.5
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,65–74,2336.4
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,65–74,2404.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",65–74,2404.7
Males,Usual number of days smoked per week,1–2 days,65–74,0.3
Males,Usual number of days smoked per week,3–6 days,65–74,0.0
Males,Usual number of days smoked per week,Daily,65–74,113.2
Males,Usual number of days smoked per week,Total current daily or weekly smoker,65–74,111.5
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,65–74,22.2
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,65–74,21.3
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,65–74,13.1
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,65–74,15.4
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,65–74,34.0
Males,Usual number of cigarettes smoked per day,Total current daily smoker,65–74,113.2
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,65–74,13.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,65–74,2.8
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,65–74,29.5
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,65–74,28.5
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,65–74,1125.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,65–74,1149.1
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",65–74,1149.1
Females,Usual number of days smoked per week,1–2 days,65–74,2.9
Females,Usual number of days smoked per week,3–6 days,65–74,3.7
Females,Usual number of days smoked per week,Daily,65–74,98.5
Females,Usual number of days smoked per week,Total current daily or weekly smoker,65–74,103.6
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,65–74,12.1
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,65–74,26.3
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,65–74,25.9
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,65–74,20.4
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,65–74,19.2
Females,Usual number of cigarettes smoked per day,Total current daily smoker,65–74,98.5
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,65–74,11.6
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,65–74,3.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,65–74,29.7
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,65–74,35.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,65–74,1219.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,65–74,1254.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",65–74,1254.2
Persons,Usual number of days smoked per week,1–2 days,75 years and over,8.4
Persons,Usual number of days smoked per week,3–6 days,75 years and over,0.0
Persons,Usual number of days smoked per week,Daily,75 years and over,51.6
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,75 years and over,58.6
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,75 years and over,6.8
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,75 years and over,14.3
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,75 years and over,8.9
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,75 years and over,11.9
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,75 years and over,12.3
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,75 years and over,51.6
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,75 years and over,12.4
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,75 years and over,0.0
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,75 years and over,8.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,75 years and over,14.0
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,75 years and over,1777.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,75 years and over,1792.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",75 years and over,1792.9
Males,Usual number of days smoked per week,1–2 days,75 years and over,0.0
Males,Usual number of days smoked per week,3–6 days,75 years and over,0.0
Males,Usual number of days smoked per week,Daily,75 years and over,31.5
Males,Usual number of days smoked per week,Total current daily or weekly smoker,75 years and over,35.0
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,75 years and over,8.6
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,75 years and over,4.9
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,75 years and over,3.3
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,75 years and over,9.3
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,75 years and over,18.2
Males,Usual number of cigarettes smoked per day,Total current daily smoker,75 years and over,31.5
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,75 years and over,13.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,75 years and over,0.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,75 years and over,5.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,75 years and over,15.1
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,75 years and over,825.7
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,75 years and over,835.7
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",75 years and over,835.7
Females,Usual number of days smoked per week,1–2 days,75 years and over,8.4
Females,Usual number of days smoked per week,3–6 days,75 years and over,0.0
Females,Usual number of days smoked per week,Daily,75 years and over,18.1
Females,Usual number of days smoked per week,Total current daily or weekly smoker,75 years and over,24.5
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,75 years and over,1.1
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,75 years and over,6.3
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,75 years and over,2.8
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,75 years and over,5.3
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,75 years and over,2.2
Females,Usual number of cigarettes smoked per day,Total current daily smoker,75 years and over,18.1
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,75 years and over,10.6
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,75 years and over,0.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,75 years and over,2.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,75 years and over,2.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,75 years and over,955.7
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,75 years and over,957.4
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",75 years and over,957.4
Persons,Usual number of days smoked per week,1–2 days,18–44,90.0
Persons,Usual number of days smoked per week,3–6 days,18–44,25.6
Persons,Usual number of days smoked per week,Daily,18–44,954.2
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,18–44,1082.6
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,18–44,267.2
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,18–44,224.2
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,18–44,214.5
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,18–44,123.2
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,18–44,132.6
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,18–44,954.2
