state_code,state_name,sex,age_group,indicator,category,survey_period,value_pct,note
QLD,Queensland,Persons,All 18+,Physical activity (2014 guidelines),Did not meet guideline,2022–24,76.4,Proportion
SA,South Australia,Persons,All 18+,Physical activity (2014 guidelines),Did not meet guideline,2022–24,76.1,Proportion
WA,Western Australia,Persons,All 18+,Physical activity (2014 guidelines),Did not meet guideline,2022–24,77.2,Proportion
TAS,Tasmania,Persons,All 18+,Physical activity (2014 guidelines),Did not meet guideline,2022–24,77.8,Proportion
NT,Northern Territory,Persons,All 18+,Physical activity (2014 guidelines),Did not meet guideline,2022–24,75.4,Proportion
ACT,Australian Capital Territory,Persons,All 18+,Physical activity (2014 guidelines),Did not meet guideline,2022–24,79.3,Proportion
AUS,Australia,Persons,All 18+,Physical activity (2014 guidelines),Did not meet guideline,2022–24,76.2,Proportion
NSW,New South Wales,Persons,All 18+,Physical activity (2014 guidelines),Zero minutes of physical activity in last week(ac),2022–24,14.8,Proportion
VIC,Victoria,Persons,All 18+,Physical activity (2014 guidelines),Zero minutes of physical activity in last week(ac),2022–24,12.4,Proportion
QLD,Queensland,Persons,All 18+,Physical activity (2014 guidelines),Zero minutes of physical activity in last week(ac),2022–24,16.5,Proportion
SA,South Australia,Persons,All 18+,Physical activity (2014 guidelines),Zero minutes of physical activity in last week(ac),2022–24,15.8,Proportion
WA,Western Australia,Persons,All 18+,Physical activity (2014 guidelines),Zero minutes of physical activity in last week(ac),2022–24,16.0,Proportion
TAS,Tasmania,Persons,All 18+,Physical activity (2014 guidelines),Zero minutes of physical activity in last week(ac),2022–24,17.6,Proportion
NT,Northern Territory,Persons,All 18+,Physical activity (2014 guidelines),Zero minutes of physical activity in last week(ac),2022–24,15.0,Proportion
ACT,Australian Capital Territory,Persons,All 18+,Physical activity (2014 guidelines),Zero minutes of physical activity in last week(ac),2022–24,16.1,Proportion
AUS,Australia,Persons,All 18+,Physical activity (2014 guidelines),Zero minutes of physical activity in last week(ac),2022–24,14.8,Proportion
